ordering of cells: row by row
===
making DIMACS for domain size 9
computing a canonizing set
10 permutations in the canonizing set
20 permutations in the canonizing set
30 permutations in the canonizing set
40 permutations in the canonizing set
50 permutations in the canonizing set
60 permutations in the canonizing set
70 permutations in the canonizing set
80 permutations in the canonizing set
90 permutations in the canonizing set
100 permutations in the canonizing set
110 permutations in the canonizing set
120 permutations in the canonizing set
130 permutations in the canonizing set
140 permutations in the canonizing set
150 permutations in the canonizing set
160 permutations in the canonizing set
170 permutations in the canonizing set
180 permutations in the canonizing set
190 permutations in the canonizing set
200 permutations in the canonizing set
210 permutations in the canonizing set
220 permutations in the canonizing set
230 permutations in the canonizing set
240 permutations in the canonizing set
250 permutations in the canonizing set
260 permutations in the canonizing set
270 permutations in the canonizing set
280 permutations in the canonizing set
290 permutations in the canonizing set
300 permutations in the canonizing set
310 permutations in the canonizing set
320 permutations in the canonizing set
330 permutations in the canonizing set
340 permutations in the canonizing set
350 permutations in the canonizing set
360 permutations in the canonizing set
370 permutations in the canonizing set
380 permutations in the canonizing set
390 permutations in the canonizing set
400 permutations in the canonizing set
410 permutations in the canonizing set
420 permutations in the canonizing set
430 permutations in the canonizing set
440 permutations in the canonizing set
450 permutations in the canonizing set
460 permutations in the canonizing set
470 permutations in the canonizing set
480 permutations in the canonizing set
490 permutations in the canonizing set
500 permutations in the canonizing set
510 permutations in the canonizing set
520 permutations in the canonizing set
530 permutations in the canonizing set
540 permutations in the canonizing set
550 permutations in the canonizing set
560 permutations in the canonizing set
570 permutations in the canonizing set
580 permutations in the canonizing set
590 permutations in the canonizing set
600 permutations in the canonizing set
610 permutations in the canonizing set
620 permutations in the canonizing set
630 permutations in the canonizing set
640 permutations in the canonizing set
650 permutations in the canonizing set
660 permutations in the canonizing set
670 permutations in the canonizing set
680 permutations in the canonizing set
690 permutations in the canonizing set
700 permutations in the canonizing set
710 permutations in the canonizing set
720 permutations in the canonizing set
730 permutations in the canonizing set
740 permutations in the canonizing set
750 permutations in the canonizing set
760 permutations in the canonizing set
770 permutations in the canonizing set
780 permutations in the canonizing set
790 permutations in the canonizing set
800 permutations in the canonizing set
810 permutations in the canonizing set
820 permutations in the canonizing set
830 permutations in the canonizing set
840 permutations in the canonizing set
850 permutations in the canonizing set
860 permutations in the canonizing set
870 permutations in the canonizing set
880 permutations in the canonizing set
890 permutations in the canonizing set
900 permutations in the canonizing set
910 permutations in the canonizing set
920 permutations in the canonizing set
930 permutations in the canonizing set
940 permutations in the canonizing set
950 permutations in the canonizing set
960 permutations in the canonizing set
970 permutations in the canonizing set
980 permutations in the canonizing set
990 permutations in the canonizing set
1000 permutations in the canonizing set
1010 permutations in the canonizing set
1020 permutations in the canonizing set
1030 permutations in the canonizing set
1040 permutations in the canonizing set
1050 permutations in the canonizing set
1060 permutations in the canonizing set
1070 permutations in the canonizing set
1080 permutations in the canonizing set
1090 permutations in the canonizing set
1100 permutations in the canonizing set
1110 permutations in the canonizing set
1120 permutations in the canonizing set
1130 permutations in the canonizing set
1140 permutations in the canonizing set
1150 permutations in the canonizing set
1160 permutations in the canonizing set
1170 permutations in the canonizing set
1180 permutations in the canonizing set
1190 permutations in the canonizing set
1200 permutations in the canonizing set
1210 permutations in the canonizing set
1220 permutations in the canonizing set
1230 permutations in the canonizing set
1240 permutations in the canonizing set
1250 permutations in the canonizing set
1260 permutations in the canonizing set
1270 permutations in the canonizing set
1280 permutations in the canonizing set
1290 permutations in the canonizing set
1300 permutations in the canonizing set
1310 permutations in the canonizing set
1320 permutations in the canonizing set
1330 permutations in the canonizing set
1340 permutations in the canonizing set
1350 permutations in the canonizing set
1360 permutations in the canonizing set
1370 permutations in the canonizing set
1380 permutations in the canonizing set
1390 permutations in the canonizing set
1400 permutations in the canonizing set
1410 permutations in the canonizing set
1420 permutations in the canonizing set
1430 permutations in the canonizing set
1440 permutations in the canonizing set
1450 permutations in the canonizing set
1460 permutations in the canonizing set
1470 permutations in the canonizing set
1480 permutations in the canonizing set
1490 permutations in the canonizing set
1500 permutations in the canonizing set
1510 permutations in the canonizing set
1520 permutations in the canonizing set
1530 permutations in the canonizing set
1540 permutations in the canonizing set
1550 permutations in the canonizing set
1560 permutations in the canonizing set
1570 permutations in the canonizing set
1580 permutations in the canonizing set
1590 permutations in the canonizing set
1600 permutations in the canonizing set
1610 permutations in the canonizing set
1620 permutations in the canonizing set
1630 permutations in the canonizing set
1640 permutations in the canonizing set
1650 permutations in the canonizing set
1660 permutations in the canonizing set
1670 permutations in the canonizing set
1680 permutations in the canonizing set
1690 permutations in the canonizing set
1700 permutations in the canonizing set
1710 permutations in the canonizing set
1720 permutations in the canonizing set
1730 permutations in the canonizing set
1740 permutations in the canonizing set
1750 permutations in the canonizing set
1760 permutations in the canonizing set
1770 permutations in the canonizing set
1780 permutations in the canonizing set
1790 permutations in the canonizing set
1800 permutations in the canonizing set
1810 permutations in the canonizing set
1820 permutations in the canonizing set
1830 permutations in the canonizing set
1840 permutations in the canonizing set
1850 permutations in the canonizing set
1860 permutations in the canonizing set
1870 permutations in the canonizing set
1880 permutations in the canonizing set
1890 permutations in the canonizing set
1900 permutations in the canonizing set
1910 permutations in the canonizing set
1920 permutations in the canonizing set
1930 permutations in the canonizing set
1940 permutations in the canonizing set
1950 permutations in the canonizing set
1960 permutations in the canonizing set
1970 permutations in the canonizing set
1980 permutations in the canonizing set
1990 permutations in the canonizing set
2000 permutations in the canonizing set
2010 permutations in the canonizing set
2020 permutations in the canonizing set
2030 permutations in the canonizing set
2040 permutations in the canonizing set
2050 permutations in the canonizing set
2060 permutations in the canonizing set
2070 permutations in the canonizing set
2080 permutations in the canonizing set
2090 permutations in the canonizing set
2100 permutations in the canonizing set
2110 permutations in the canonizing set
2120 permutations in the canonizing set
2130 permutations in the canonizing set
2140 permutations in the canonizing set
2150 permutations in the canonizing set
2160 permutations in the canonizing set
2170 permutations in the canonizing set
2180 permutations in the canonizing set
2190 permutations in the canonizing set
2200 permutations in the canonizing set
2210 permutations in the canonizing set
2220 permutations in the canonizing set
2230 permutations in the canonizing set
2240 permutations in the canonizing set
2250 permutations in the canonizing set
2260 permutations in the canonizing set
2270 permutations in the canonizing set
2280 permutations in the canonizing set
2290 permutations in the canonizing set
2300 permutations in the canonizing set
2310 permutations in the canonizing set
2320 permutations in the canonizing set
2330 permutations in the canonizing set
2340 permutations in the canonizing set
2350 permutations in the canonizing set
2360 permutations in the canonizing set
2370 permutations in the canonizing set
2380 permutations in the canonizing set
2390 permutations in the canonizing set
2400 permutations in the canonizing set
2410 permutations in the canonizing set
2420 permutations in the canonizing set
2430 permutations in the canonizing set
2440 permutations in the canonizing set
2450 permutations in the canonizing set
2460 permutations in the canonizing set
2470 permutations in the canonizing set
2480 permutations in the canonizing set
2490 permutations in the canonizing set
2500 permutations in the canonizing set
2510 permutations in the canonizing set
2520 permutations in the canonizing set
2530 permutations in the canonizing set
2540 permutations in the canonizing set
2550 permutations in the canonizing set
2560 permutations in the canonizing set
2570 permutations in the canonizing set
2580 permutations in the canonizing set
2590 permutations in the canonizing set
2600 permutations in the canonizing set
2610 permutations in the canonizing set
2620 permutations in the canonizing set
2630 permutations in the canonizing set
2640 permutations in the canonizing set
2650 permutations in the canonizing set
2660 permutations in the canonizing set
2670 permutations in the canonizing set
2680 permutations in the canonizing set
2690 permutations in the canonizing set
2700 permutations in the canonizing set
2710 permutations in the canonizing set
2720 permutations in the canonizing set
2730 permutations in the canonizing set
2740 permutations in the canonizing set
2750 permutations in the canonizing set
2760 permutations in the canonizing set
2770 permutations in the canonizing set
2780 permutations in the canonizing set
2790 permutations in the canonizing set
2800 permutations in the canonizing set
2810 permutations in the canonizing set
2820 permutations in the canonizing set
2830 permutations in the canonizing set
2840 permutations in the canonizing set
2850 permutations in the canonizing set
2860 permutations in the canonizing set
2870 permutations in the canonizing set
2880 permutations in the canonizing set
2890 permutations in the canonizing set
2900 permutations in the canonizing set
2910 permutations in the canonizing set
2920 permutations in the canonizing set
2930 permutations in the canonizing set
2940 permutations in the canonizing set
2950 permutations in the canonizing set
2960 permutations in the canonizing set
2970 permutations in the canonizing set
2980 permutations in the canonizing set
2990 permutations in the canonizing set
3000 permutations in the canonizing set
3010 permutations in the canonizing set
3020 permutations in the canonizing set
3030 permutations in the canonizing set
3040 permutations in the canonizing set
3050 permutations in the canonizing set
3060 permutations in the canonizing set
3070 permutations in the canonizing set
3080 permutations in the canonizing set
3090 permutations in the canonizing set
3100 permutations in the canonizing set
3110 permutations in the canonizing set
3120 permutations in the canonizing set
3130 permutations in the canonizing set
3140 permutations in the canonizing set
3150 permutations in the canonizing set
3160 permutations in the canonizing set
3170 permutations in the canonizing set
3180 permutations in the canonizing set
3190 permutations in the canonizing set
3200 permutations in the canonizing set
3210 permutations in the canonizing set
3220 permutations in the canonizing set
3230 permutations in the canonizing set
3240 permutations in the canonizing set
3250 permutations in the canonizing set
3260 permutations in the canonizing set
3270 permutations in the canonizing set
3280 permutations in the canonizing set
3290 permutations in the canonizing set
3300 permutations in the canonizing set
3310 permutations in the canonizing set
3320 permutations in the canonizing set
3330 permutations in the canonizing set
3340 permutations in the canonizing set
3350 permutations in the canonizing set
3360 permutations in the canonizing set
3370 permutations in the canonizing set
3380 permutations in the canonizing set
3390 permutations in the canonizing set
3400 permutations in the canonizing set
3410 permutations in the canonizing set
3420 permutations in the canonizing set
3430 permutations in the canonizing set
3440 permutations in the canonizing set
3450 permutations in the canonizing set
3460 permutations in the canonizing set
3470 permutations in the canonizing set
3480 permutations in the canonizing set
3490 permutations in the canonizing set
3500 permutations in the canonizing set
3510 permutations in the canonizing set
3520 permutations in the canonizing set
3530 permutations in the canonizing set
3540 permutations in the canonizing set
3550 permutations in the canonizing set
3560 permutations in the canonizing set
3570 permutations in the canonizing set
3580 permutations in the canonizing set
3590 permutations in the canonizing set
3600 permutations in the canonizing set
3610 permutations in the canonizing set
3620 permutations in the canonizing set
3630 permutations in the canonizing set
3640 permutations in the canonizing set
3650 permutations in the canonizing set
3660 permutations in the canonizing set
3670 permutations in the canonizing set
3680 permutations in the canonizing set
3690 permutations in the canonizing set
3700 permutations in the canonizing set
3710 permutations in the canonizing set
3720 permutations in the canonizing set
3730 permutations in the canonizing set
3740 permutations in the canonizing set
3750 permutations in the canonizing set
3760 permutations in the canonizing set
3770 permutations in the canonizing set
3780 permutations in the canonizing set
3790 permutations in the canonizing set
3800 permutations in the canonizing set
3810 permutations in the canonizing set
3820 permutations in the canonizing set
3830 permutations in the canonizing set
3840 permutations in the canonizing set
3850 permutations in the canonizing set
3860 permutations in the canonizing set
3870 permutations in the canonizing set
3880 permutations in the canonizing set
3890 permutations in the canonizing set
3900 permutations in the canonizing set
3910 permutations in the canonizing set
3920 permutations in the canonizing set
3930 permutations in the canonizing set
3940 permutations in the canonizing set
3950 permutations in the canonizing set
3960 permutations in the canonizing set
3970 permutations in the canonizing set
3980 permutations in the canonizing set
3990 permutations in the canonizing set
4000 permutations in the canonizing set
4010 permutations in the canonizing set
4020 permutations in the canonizing set
4030 permutations in the canonizing set
4040 permutations in the canonizing set
4050 permutations in the canonizing set
4060 permutations in the canonizing set
4070 permutations in the canonizing set
4080 permutations in the canonizing set
4090 permutations in the canonizing set
